Removed Pin From Net: NetName=NetC13_1 Pin=C13-1
Removed Pin From Net: NetName=en_ox Pin=DA1-1
Removed Pin From Net: NetName=GND Pin=DA1-3
Removed Pin From Net: NetName=+12_akkum Pin=DA1-5
Removed Pin From Net: NetName=+12_sw Pin=DA1-6
Removed Pin From Net: NetName=+12_sw Pin=DA1-7
Removed Pin From Net: NetName=+12_akkum Pin=DA1-8
Removed Pin From Net: NetName=GND Pin=R2-1
Removed Pin From Net: NetName=RS485_1_N Pin=R3-1
Removed Pin From Net: NetName=RS485_1_P Pin=R3-2
Removed Pin From Net: NetName=GND Pin=R4-1
Removed Pin From Net: NetName=GND Pin=VD11-1
Removed Member From Class: ClassName=Udcdc5v Member=C13
Removed Member From Class: ClassName=Udcdc_na_akkum Member=C29
Removed Member From Class: ClassName=ıÂıÂÏ‡ Member=DA3
Removed Member From Class: ClassName=Udcdc_na_akkum Member=VD11
Change Component Footprint: Designator=R1 Old Footprint=0603R New Footprint=1206R
Change Component Footprint: Designator=R2 Old Footprint=0603R New Footprint=1206R
Change Component Designator: OldDesignator=C6 NewDesignator=C8
Change Component Designator: OldDesignator=C7 NewDesignator=C6
Change Component Designator: OldDesignator=C8 NewDesignator=C7
Change Component Designator: OldDesignator=C10 NewDesignator=C11
Change Component Designator: OldDesignator=C16_1 NewDesignator=C19_1
Change Component Designator: OldDesignator=C16_2 NewDesignator=C19_2
Change Component Designator: OldDesignator=C17_1 NewDesignator=C20_1
Change Component Designator: OldDesignator=C17_2 NewDesignator=C20_2
Change Component Designator: OldDesignator=C18_1 NewDesignator=C21_1
Change Component Designator: OldDesignator=C18_2 NewDesignator=C21_2
Change Component Designator: OldDesignator=C19_1 NewDesignator=C22_1
Change Component Designator: OldDesignator=C19_2 NewDesignator=C22_2
Change Component Designator: OldDesignator=C20_1 NewDesignator=C23_1
Change Component Designator: OldDesignator=C20_2 NewDesignator=C23_2
Change Component Designator: OldDesignator=C21_1 NewDesignator=C24_1
Change Component Designator: OldDesignator=C21_2 NewDesignator=C24_2
Change Component Designator: OldDesignator=C22_1 NewDesignator=C25_1
Change Component Designator: OldDesignator=C22_2 NewDesignator=C25_2
Change Component Designator: OldDesignator=C23_1 NewDesignator=C26_1
Change Component Designator: OldDesignator=C23_2 NewDesignator=C26_2
Change Component Designator: OldDesignator=C24_1 NewDesignator=C27_1
Change Component Designator: OldDesignator=C24_2 NewDesignator=C27_2
Change Component Designator: OldDesignator=C25_1 NewDesignator=C28_1
Change Component Designator: OldDesignator=C25_2 NewDesignator=C28_2
Change Component Designator: OldDesignator=C26_1 NewDesignator=C29_1
